family,short_name,description,source
RF02823,RF02823,RF02823,fallback
RF02826,"Streptomyces afghaniensis 772 genomic scaffold STAFG_scaffold1658, whole genome","Streptomyces afghaniensis 772 genomic scaffold STAFG_scaffold1658, whole genome shotgun sequence",header
RF02827,"Streptomyces sp. VN1 chromosome, complete genome","Streptomyces sp. VN1 chromosome, complete genome",header
RF02828,RF02828,RF02828,fallback
RF02829,RF02829,RF02829,fallback
RF02830,RF02830,RF02830,fallback
RF02831,"Streptomyces spinoverrucosus NBRC 14228 DNA, sequence037, whole genome shotgun s","Streptomyces spinoverrucosus NBRC 14228 DNA, sequence037, whole genome shotgun sequence",header
RF02832,RF02832,RF02832,fallback
RF02833,"Streptomyces sp. cf386 genome assembly, contig: Ga0070141_102, whole genome shot","Streptomyces sp. cf386 genome assembly, contig: Ga0070141_102, whole genome shotgun sequence",header
RF02835,"Diaphorobacter sp. J5-51 NODE_108, whole genome shotgun sequence","Diaphorobacter sp. J5-51 NODE_108, whole genome shotgun sequence",header
RF02836,"Papaver nudicaule isolate S-191538 Pnu_contig_251693, whole genome shotgun seque","Papaver nudicaule isolate S-191538 Pnu_contig_251693, whole genome shotgun sequence",header
RF02837,RF02837,RF02837,fallback
RF02840,RF02840,RF02840,fallback
RF02850,RF02850,RF02850,fallback
RF02855,RF02855,RF02855,fallback
RF02862,"Anaerofilum hominis strain BX8 BX8_ctg0005, whole genome shotgun sequence","Anaerofilum hominis strain BX8 BX8_ctg0005, whole genome shotgun sequence",header
RF02863,"Enterococcus sp. NBRC 3427 DNA, sequence028, whole genome shotgun sequence","Enterococcus sp. NBRC 3427 DNA, sequence028, whole genome shotgun sequence",header
RF02865,"Burkholderia seminalis strain 869T2 chromosome 1, complete sequence","Burkholderia seminalis strain 869T2 chromosome 1, complete sequence",header
RF02866,"Burkholderia multivorans ATCC 17616 DNA, complete genome, chromosome 1","Burkholderia multivorans ATCC 17616 DNA, complete genome, chromosome 1",header
RF02867,"Burkholderia dolosa AU0158 supercont1.1 genomic scaffold, whole genome shotgun s","Burkholderia dolosa AU0158 supercont1.1 genomic scaffold, whole genome shotgun sequence",header
RF02869,"Paraburkholderia sediminicola strain LMG 24238 genome assembly, contig: 3, whole","Paraburkholderia sediminicola strain LMG 24238 genome assembly, contig: 3, whole genome shotgun sequence",header
RF02871,"Burkholderia plantarii strain PG1 chromosome 1, complete sequence","Burkholderia plantarii strain PG1 chromosome 1, complete sequence",header
RF02872,"Pseudomonas sp. Wesi-4 isolate CIP111764 genome assembly, contig: scfd_31, whole","Pseudomonas sp. Wesi-4 isolate CIP111764 genome assembly, contig: scfd_31, whole genome shotgun sequence",header
RF02877,RF02877,RF02877,fallback
RF02883,RF02883,RF02883,fallback
RF02884,RF02884,RF02884,fallback
RF02893,RF02893,RF02893,fallback
RF02894,"Staphylococcus aureus subsp. aureus NCTC 8325, complete genome","Staphylococcus aureus subsp. aureus NCTC 8325, complete genome",header
RF02895,RF02895,RF02895,fallback
RF02902,RF02902,RF02902,fallback
RF02911,RF02911,RF02911,fallback
RF02913,RF02913,RF02913,fallback
RF02914,RF02914,RF02914,fallback
RF02915,RF02915,RF02915,fallback
RF02916,RF02916,RF02916,fallback
RF02921,RF02921,RF02921,fallback
RF02923,RF02923,RF02923,fallback
RF02924,RF02924,RF02924,fallback
RF02925,RF02925,RF02925,fallback
RF02926,RF02926,RF02926,fallback
RF02928,RF02928,RF02928,fallback
RF02929,RF02929,RF02929,fallback
RF02930,RF02930,RF02930,fallback
RF02931,RF02931,RF02931,fallback
RF02932,RF02932,RF02932,fallback
RF02935,RF02935,RF02935,fallback
RF02937,RF02937,RF02937,fallback
RF02940,RF02940,RF02940,fallback
RF02942,RF02942,RF02942,fallback
RF02944,RF02944,RF02944,fallback
RF02946,RF02946,RF02946,fallback
RF02951,RF02951,RF02951,fallback
RF02952,RF02952,RF02952,fallback
RF02953,RF02953,RF02953,fallback
RF02954,RF02954,RF02954,fallback
RF02955,RF02955,RF02955,fallback
RF02956,RF02956,RF02956,fallback
RF02957,RF02957,RF02957,fallback
RF02958,RF02958,RF02958,fallback
RF02960,RF02960,RF02960,fallback
RF02962,RF02962,RF02962,fallback
RF02964,RF02964,RF02964,fallback
RF02965,RF02965,RF02965,fallback
RF02966,RF02966,RF02966,fallback
RF02967,RF02967,RF02967,fallback
RF02968,RF02968,RF02968,fallback
RF02969,RF02969,RF02969,fallback
RF02972,RF02972,RF02972,fallback
RF02975,RF02975,RF02975,fallback
RF02976,RF02976,RF02976,fallback
RF02977,RF02977,RF02977,fallback
RF02980,RF02980,RF02980,fallback
RF02982,RF02982,RF02982,fallback
RF02984,RF02984,RF02984,fallback
RF02986,RF02986,RF02986,fallback
RF02987,RF02987,RF02987,fallback
RF02990,RF02990,RF02990,fallback
RF02991,RF02991,RF02991,fallback
RF02992,RF02992,RF02992,fallback
RF02993,RF02993,RF02993,fallback
RF02994,RF02994,RF02994,fallback
RF02995,RF02995,RF02995,fallback
RF02996,RF02996,RF02996,fallback
RF02998,RF02998,RF02998,fallback
RF02999,RF02999,RF02999,fallback
RF03000,RF03000,RF03000,fallback
RF03001,RF03001,RF03001,fallback
RF03003,RF03003,RF03003,fallback
RF03005,RF03005,RF03005,fallback
RF03012,RF03012,RF03012,fallback
RF03013,RF03013,RF03013,fallback
RF03014,RF03014,RF03014,fallback
RF03015,RF03015,RF03015,fallback
RF03018,RF03018,RF03018,fallback
RF03019,RF03019,RF03019,fallback
RF03020,RF03020,RF03020,fallback
RF03021,RF03021,RF03021,fallback
RF03022,RF03022,RF03022,fallback
RF03026,RF03026,RF03026,fallback
RF03027,RF03027,RF03027,fallback
RF03028,RF03028,RF03028,fallback
RF03031,RF03031,RF03031,fallback
RF03032,RF03032,RF03032,fallback
RF03034,RF03034,RF03034,fallback
RF03037,RF03037,RF03037,fallback
RF03039,RF03039,RF03039,fallback
RF03044,RF03044,RF03044,fallback
RF03046,RF03046,RF03046,fallback
RF03052,RF03052,RF03052,fallback
RF03054,RF03054,RF03054,fallback
RF03057,RF03057,RF03057,fallback
