family,short_name,description,source
RF00001,5S rRNA,5S ribosomal RNA,builtin
RF00002,5.8S rRNA,5.8S ribosomal RNA,builtin
RF00003,U1,U1 spliceosomal RNA,builtin
RF00004,U2,U2 spliceosomal RNA,builtin
RF00005,tRNA,Transfer RNA family,builtin
RF00006,Vault RNA,Vault RNA,builtin
RF00007,RNase P,RNase P RNA,builtin
RF00008,Hammerhead,Hammerhead ribozyme,builtin
RF00009,IRES,Internal ribosome entry site family,builtin
RF00010,Telomerase,Telomerase RNA,builtin
RF00011,SRP,Signal recognition particle RNA,builtin
RF00012,U3,U3 small nucleolar RNA,builtin
RF00013,U4,U4 spliceosomal RNA,builtin
RF00015,U6,U6 spliceosomal RNA,builtin
RF00016,6S,Bacterial 6S RNA,builtin
RF00017,Metazoan SRP,Metazoan signal recognition particle RNA,builtin
RF00018,TmRNA,Transfer-messenger RNA,builtin
RF00019,RF00019,RF00019,fallback
RF00020,RF00020,RF00020,fallback
RF00021,RF00021,RF00021,fallback
RF00022,RF00022,RF00022,fallback
RF00023,RF00023,RF00023,fallback
RF00024,RF00024,RF00024,fallback
RF00026,RF00026,RF00026,fallback
RF00027,RF00027,RF00027,fallback
RF00028,RF00028,RF00028,fallback
RF00029,RF00029,RF00029,fallback
RF00030,RF00030,RF00030,fallback
RF00031,RF00031,RF00031,fallback
RF00032,RF00032,RF00032,fallback
RF00034,RF00034,RF00034,fallback
RF00036,RF00036,RF00036,fallback
RF00037,RF00037,RF00037,fallback
RF00040,RF00040,RF00040,fallback
RF00041,RF00041,RF00041,fallback
RF00042,RF00042,RF00042,fallback
RF00045,RF00045,RF00045,fallback
RF00046,RF00046,RF00046,fallback
RF00047,RF00047,RF00047,fallback
RF00048,RF00048,RF00048,fallback
RF00049,RF00049,RF00049,fallback
RF00050,RF00050,RF00050,fallback
RF00051,RF00051,RF00051,fallback
RF00053,RF00053,RF00053,fallback
RF00054,RF00054,RF00054,fallback
RF00055,RF00055,RF00055,fallback
RF00056,RF00056,RF00056,fallback
RF00057,RF00057,RF00057,fallback
RF00059,RF00059,RF00059,fallback
RF00061,RF00061,RF00061,fallback
RF00066,RF00066,RF00066,fallback
RF00067,RF00067,RF00067,fallback
RF00068,RF00068,RF00068,fallback
RF00069,RF00069,RF00069,fallback
RF00070,RF00070,RF00070,fallback
RF00071,RF00071,RF00071,fallback
RF00072,RF00072,RF00072,fallback
RF00073,RF00073,RF00073,fallback
RF00074,RF00074,RF00074,fallback
RF00075,RF00075,RF00075,fallback
RF00076,RF00076,RF00076,fallback
RF00078,RF00078,RF00078,fallback
RF00079,RF00079,RF00079,fallback
RF00080,RF00080,RF00080,fallback
RF00082,RF00082,RF00082,fallback
RF00083,RF00083,RF00083,fallback
RF00085,RF00085,RF00085,fallback
RF00086,RF00086,RF00086,fallback
RF00087,RF00087,RF00087,fallback
RF00088,RF00088,RF00088,fallback
RF00089,RF00089,RF00089,fallback
RF00090,RF00090,RF00090,fallback
RF00091,RF00091,RF00091,fallback
RF00092,RF00092,RF00092,fallback
RF00093,RF00093,RF00093,fallback
RF00096,RF00096,RF00096,fallback
RF00097,RF00097,RF00097,fallback
RF00099,RF00099,RF00099,fallback
RF00100,RF00100,RF00100,fallback
RF00101,RF00101,RF00101,fallback
RF00102,RF00102,RF00102,fallback
RF00103,RF00103,RF00103,fallback
RF00104,RF00104,RF00104,fallback
RF00105,RF00105,RF00105,fallback
RF00106,RF00106,RF00106,fallback
RF00108,RF00108,RF00108,fallback
RF00109,RF00109,RF00109,fallback
RF00110,RF00110,RF00110,fallback
RF00111,RF00111,RF00111,fallback
RF00112,RF00112,RF00112,fallback
RF00113,RF00113,RF00113,fallback
RF00114,RF00114,RF00114,fallback
RF00127,RF00127,RF00127,fallback
RF00128,RF00128,RF00128,fallback
RF00129,RF00129,RF00129,fallback
RF00130,RF00130,RF00130,fallback
RF00131,RF00131,RF00131,fallback
RF00132,RF00132,RF00132,fallback
RF00133,RF00133,RF00133,fallback
RF00134,RF00134,RF00134,fallback
RF00135,RF00135,RF00135,fallback
RF00136,RF00136,RF00136,fallback
RF00137,RF00137,RF00137,fallback
RF00138,RF00138,RF00138,fallback
RF00139,RF00139,RF00139,fallback
RF00140,RF00140,RF00140,fallback
RF00142,RF00142,RF00142,fallback
RF00143,RF00143,RF00143,fallback
RF00144,RF00144,RF00144,fallback
RF00145,RF00145,RF00145,fallback
RF00147,RF00147,RF00147,fallback
RF00149,RF00149,RF00149,fallback
RF00150,RF00150,RF00150,fallback
RF00151,RF00151,RF00151,fallback
RF00152,RF00152,RF00152,fallback
RF00153,RF00153,RF00153,fallback
RF00154,RF00154,RF00154,fallback
RF00155,RF00155,RF00155,fallback
RF00156,RF00156,RF00156,fallback
RF00157,RF00157,RF00157,fallback
RF00158,RF00158,RF00158,fallback
RF00160,RF00160,RF00160,fallback
RF00162,RF00162,RF00162,fallback
RF00163,RF00163,RF00163,fallback
RF00164,RF00164,RF00164,fallback
RF00165,RF00165,RF00165,fallback
RF00166,RF00166,RF00166,fallback
RF00167,RF00167,RF00167,fallback
RF00168,RF00168,RF00168,fallback
RF00169,RF00169,RF00169,fallback
RF00172,RF00172,RF00172,fallback
RF00174,SAM,SAM riboswitch family,builtin
RF00175,RF00175,RF00175,fallback
RF00177,CsrB,CsrB and related bacterial small RNAs,builtin
RF00178,RF00178,RF00178,fallback
RF00179,RF00179,RF00179,fallback
RF00180,RF00180,RF00180,fallback
RF00181,RF00181,RF00181,fallback
RF00183,RF00183,RF00183,fallback
RF00185,RF00185,RF00185,fallback
RF00186,RF00186,RF00186,fallback
RF00187,RF00187,RF00187,fallback
RF00188,RF00188,RF00188,fallback
RF00189,RF00189,RF00189,fallback
RF00190,RF00190,RF00190,fallback
RF00191,RF00191,RF00191,fallback
RF00195,RF00195,RF00195,fallback
RF00198,RF00198,RF00198,fallback
RF00199,RF00199,RF00199,fallback
RF00200,RF00200,RF00200,fallback
RF00201,RF00201,RF00201,fallback
RF00202,RF00202,RF00202,fallback
RF00203,RF00203,RF00203,fallback
RF00204,RF00204,RF00204,fallback
RF00205,RF00205,RF00205,fallback
RF00206,RF00206,RF00206,fallback
RF00210,RF00210,RF00210,fallback
RF00211,RF00211,RF00211,fallback
RF00212,RF00212,RF00212,fallback
RF00213,RF00213,RF00213,fallback
RF00214,RF00214,RF00214,fallback
RF00216,RF00216,RF00216,fallback
RF00217,RF00217,RF00217,fallback
RF00218,RF00218,RF00218,fallback
RF00221,"Balaenoptera physalus isolate FinWhale-01 scaffold5699, whole genome shotgun seq","Balaenoptera physalus isolate FinWhale-01 scaffold5699, whole genome shotgun sequence",header
RF00222,RF00222,RF00222,fallback
RF00223,RF00223,RF00223,fallback
RF00224,RF00224,RF00224,fallback
RF00226,RF00226,RF00226,fallback
RF00229,RF00229,RF00229,fallback
RF00230,RF00230,RF00230,fallback
RF00231,RF00231,RF00231,fallback
RF00232,RF00232,RF00232,fallback
RF00233,RF00233,RF00233,fallback
RF00234,RF00234,RF00234,fallback
RF00237,RF00237,RF00237,fallback
RF00238,RF00238,RF00238,fallback
RF00239,RF00239,RF00239,fallback
RF00241,RF00241,RF00241,fallback
RF00244,RF00244,RF00244,fallback
RF00245,RF00245,RF00245,fallback
RF00246,RF00246,RF00246,fallback
RF00247,RF00247,RF00247,fallback
RF00248,RF00248,RF00248,fallback
RF00249,RF00249,RF00249,fallback
RF00250,RF00250,RF00250,fallback
RF00251,RF00251,RF00251,fallback
RF00253,RF00253,RF00253,fallback
RF00254,RF00254,RF00254,fallback
RF00255,RF00255,RF00255,fallback
RF00256,RF00256,RF00256,fallback
RF00257,RF00257,RF00257,fallback
RF00258,RF00258,RF00258,fallback
RF00259,RF00259,RF00259,fallback
RF00260,RF00260,RF00260,fallback
RF00261,RF00261,RF00261,fallback
RF00263,RF00263,RF00263,fallback
RF00264,RF00264,RF00264,fallback
RF00265,RF00265,RF00265,fallback
RF00266,RF00266,RF00266,fallback
RF00267,RF00267,RF00267,fallback
RF00270,RF00270,RF00270,fallback
RF00271,RF00271,RF00271,fallback
RF00272,RF00272,RF00272,fallback
RF00273,RF00273,RF00273,fallback
RF00274,RF00274,RF00274,fallback
RF00275,RF00275,RF00275,fallback
RF00276,RF00276,RF00276,fallback
RF00277,RF00277,RF00277,fallback
RF00278,RF00278,RF00278,fallback
RF00279,RF00279,RF00279,fallback
RF00280,RF00280,RF00280,fallback
RF00281,RF00281,RF00281,fallback
RF00282,RF00282,RF00282,fallback
RF00283,RF00283,RF00283,fallback
RF00284,RF00284,RF00284,fallback
RF00285,RF00285,RF00285,fallback
RF00286,RF00286,RF00286,fallback
RF00287,RF00287,RF00287,fallback
RF00288,RF00288,RF00288,fallback
RF00289,RF00289,RF00289,fallback
RF00291,RF00291,RF00291,fallback
RF00296,RF00296,RF00296,fallback
RF00300,RF00300,RF00300,fallback
RF00301,RF00301,RF00301,fallback
RF00302,RF00302,RF00302,fallback
RF00303,RF00303,RF00303,fallback
RF00304,RF00304,RF00304,fallback
RF00307,Arabidopsis thaliana chromosome 3,Arabidopsis thaliana chromosome 3,header
RF00309,RF00309,RF00309,fallback
RF00311,RF00311,RF00311,fallback
RF00315,RF00315,RF00315,fallback
RF00319,RF00319,RF00319,fallback
RF00321,RF00321,RF00321,fallback
RF00322,RF00322,RF00322,fallback
RF00324,RF00324,RF00324,fallback
RF00325,RF00325,RF00325,fallback
RF00326,RF00326,RF00326,fallback
RF00328,RF00328,RF00328,fallback
RF00329,RF00329,RF00329,fallback
RF00330,RF00330,RF00330,fallback
RF00332,RF00332,RF00332,fallback
RF00333,RF00333,RF00333,fallback
RF00334,RF00334,RF00334,fallback
RF00335,RF00335,RF00335,fallback
RF00337,RF00337,RF00337,fallback
RF00339,RF00339,RF00339,fallback
RF00340,RF00340,RF00340,fallback
RF00341,RF00341,RF00341,fallback
RF00342,RF00342,RF00342,fallback
RF00343,RF00343,RF00343,fallback
RF00344,RF00344,RF00344,fallback
RF00345,RF00345,RF00345,fallback
RF00348,RF00348,RF00348,fallback
RF00349,RF00349,RF00349,fallback
RF00350,RF00350,RF00350,fallback
RF00351,Arabidopsis thaliana chromosome 4,Arabidopsis thaliana chromosome 4,header
RF00352,RF00352,RF00352,fallback
RF00353,RF00353,RF00353,fallback
RF00355,RF00355,RF00355,fallback
RF00356,RF00356,RF00356,fallback
RF00357,RF00357,RF00357,fallback
RF00358,RF00358,RF00358,fallback
RF00359,RF00359,RF00359,fallback
RF00360,RF00360,RF00360,fallback
RF00361,RF00361,RF00361,fallback
RF00368,RF00368,RF00368,fallback
RF00369,RF00369,RF00369,fallback
RF00373,RF00373,RF00373,fallback
RF00375,RF00375,RF00375,fallback
RF00376,RF00376,RF00376,fallback
RF00377,RF00377,RF00377,fallback
RF00378,RF00378,RF00378,fallback
RF00379,RF00379,RF00379,fallback
RF00380,RF00380,RF00380,fallback
RF00381,RF00381,RF00381,fallback
RF00382,RF00382,RF00382,fallback
RF00383,RF00383,RF00383,fallback
RF00386,RF00386,RF00386,fallback
RF00387,RF00387,RF00387,fallback
RF00391,RF00391,RF00391,fallback
RF00392,RF00392,RF00392,fallback
RF00393,RF00393,RF00393,fallback
RF00394,RF00394,RF00394,fallback
RF00396,RF00396,RF00396,fallback
RF00397,RF00397,RF00397,fallback
RF00398,RF00398,RF00398,fallback
RF00399,RF00399,RF00399,fallback
RF00400,RF00400,RF00400,fallback
RF00401,RF00401,RF00401,fallback
RF00402,RF00402,RF00402,fallback
RF00403,RF00403,RF00403,fallback
RF00404,RF00404,RF00404,fallback
RF00405,RF00405,RF00405,fallback
RF00406,RF00406,RF00406,fallback
RF00407,RF00407,RF00407,fallback
RF00408,RF00408,RF00408,fallback
RF00409,RF00409,RF00409,fallback
RF00410,RF00410,RF00410,fallback
RF00411,RF00411,RF00411,fallback
RF00412,RF00412,RF00412,fallback
RF00413,RF00413,RF00413,fallback
RF00414,RF00414,RF00414,fallback
RF00415,RF00415,RF00415,fallback
RF00416,RF00416,RF00416,fallback
RF00417,RF00417,RF00417,fallback
RF00418,RF00418,RF00418,fallback
RF00419,RF00419,RF00419,fallback
RF00420,RF00420,RF00420,fallback
RF00421,RF00421,RF00421,fallback
RF00422,RF00422,RF00422,fallback
RF00423,RF00423,RF00423,fallback
RF00424,RF00424,RF00424,fallback
RF00425,RF00425,RF00425,fallback
RF00426,RF00426,RF00426,fallback
RF00427,RF00427,RF00427,fallback
RF00428,RF00428,RF00428,fallback
RF00429,RF00429,RF00429,fallback
RF00430,RF00430,RF00430,fallback
RF00431,RF00431,RF00431,fallback
RF00432,RF00432,RF00432,fallback
RF00435,RF00435,RF00435,fallback
RF00436,RF00436,RF00436,fallback
RF00438,RF00438,RF00438,fallback
RF00439,RF00439,RF00439,fallback
RF00440,RF00440,RF00440,fallback
RF00442,RF00442,RF00442,fallback
RF00443,RF00443,RF00443,fallback
RF00444,RF00444,RF00444,fallback
RF00445,RF00445,RF00445,fallback
RF00446,RF00446,RF00446,fallback
RF00447,RF00447,RF00447,fallback
RF00449,RF00449,RF00449,fallback
RF00451,RF00451,RF00451,fallback
RF00452,RF00452,RF00452,fallback
RF00454,RF00454,RF00454,fallback
RF00455,RF00455,RF00455,fallback
RF00456,RF00456,RF00456,fallback
RF00457,RF00457,RF00457,fallback
RF00459,RF00459,RF00459,fallback
RF00460,RF00460,RF00460,fallback
RF00461,RF00461,RF00461,fallback
RF00464,RF00464,RF00464,fallback
RF00467,RF00467,RF00467,fallback
RF00468,RF00468,RF00468,fallback
RF00471,RF00471,RF00471,fallback
RF00472,RF00472,RF00472,fallback
RF00473,RF00473,RF00473,fallback
RF00474,RF00474,RF00474,fallback
RF00475,RF00475,RF00475,fallback
RF00476,RF00476,RF00476,fallback
RF00478,RF00478,RF00478,fallback
RF00479,RF00479,RF00479,fallback
RF00480,RF00480,RF00480,fallback
RF00482,RF00482,RF00482,fallback
RF00483,RF00483,RF00483,fallback
RF00484,RF00484,RF00484,fallback
RF00485,RF00485,RF00485,fallback
RF00486,RF00486,RF00486,fallback
RF00487,RF00487,RF00487,fallback
RF00489,RF00489,RF00489,fallback
RF00490,RF00490,RF00490,fallback
RF00492,RF00492,RF00492,fallback
RF00493,RF00493,RF00493,fallback
RF00494,RF00494,RF00494,fallback
RF00495,RF00495,RF00495,fallback
RF00504,RF00504,RF00504,fallback
RF00506,RF00506,RF00506,fallback
RF00507,RF00507,RF00507,fallback
RF00512,RF00512,RF00512,fallback
RF00513,RF00513,RF00513,fallback
RF00514,RF00514,RF00514,fallback
RF00515,RF00515,RF00515,fallback
RF00516,Bacillus gobiensis strain FJAT-4402 chromosome,Bacillus gobiensis strain FJAT-4402 chromosome,header
RF00517,RF00517,RF00517,fallback
RF00518,RF00518,RF00518,fallback
RF00519,RF00519,RF00519,fallback
RF00520,RF00520,RF00520,fallback
RF00521,RF00521,RF00521,fallback
RF00522,RF00522,RF00522,fallback
RF00523,RF00523,RF00523,fallback
RF00524,RF00524,RF00524,fallback
RF00525,RF00525,RF00525,fallback
RF00528,RF00528,RF00528,fallback
RF00529,RF00529,RF00529,fallback
RF00530,RF00530,RF00530,fallback
RF00532,RF00532,RF00532,fallback
RF00534,RF00534,RF00534,fallback
RF00535,RF00535,RF00535,fallback
RF00538,RF00538,RF00538,fallback
RF00540,RF00540,RF00540,fallback
RF00542,RF00542,RF00542,fallback
RF00543,RF00543,RF00543,fallback
RF00544,RF00544,RF00544,fallback
RF00545,RF00545,RF00545,fallback
RF00546,RF00546,RF00546,fallback
RF00547,RF00547,RF00547,fallback
RF00548,RF00548,RF00548,fallback
RF00552,RF00552,RF00552,fallback
RF00553,RF00553,RF00553,fallback
RF00554,RF00554,RF00554,fallback
RF00555,RF00555,RF00555,fallback
RF00556,RF00556,RF00556,fallback
RF00557,RF00557,RF00557,fallback
RF00558,RF00558,RF00558,fallback
RF00559,RF00559,RF00559,fallback
RF00560,RF00560,RF00560,fallback
RF00561,RF00561,RF00561,fallback
RF00562,RF00562,RF00562,fallback
RF00563,RF00563,RF00563,fallback
RF00564,RF00564,RF00564,fallback
RF00565,RF00565,RF00565,fallback
RF00566,RF00566,RF00566,fallback
RF00567,RF00567,RF00567,fallback
RF00568,RF00568,RF00568,fallback
RF00569,RF00569,RF00569,fallback
RF00570,RF00570,RF00570,fallback
RF00571,RF00571,RF00571,fallback
RF00572,RF00572,RF00572,fallback
RF00573,RF00573,RF00573,fallback
RF00574,RF00574,RF00574,fallback
RF00575,RF00575,RF00575,fallback
RF00576,RF00576,RF00576,fallback
RF00577,RF00577,RF00577,fallback
RF00578,RF00578,RF00578,fallback
RF00579,RF00579,RF00579,fallback
RF00580,RF00580,RF00580,fallback
RF00581,RF00581,RF00581,fallback
RF00582,RF00582,RF00582,fallback
RF00584,RF00584,RF00584,fallback
RF00586,RF00586,RF00586,fallback
RF00588,RF00588,RF00588,fallback
RF00591,RF00591,RF00591,fallback
RF00592,RF00592,RF00592,fallback
RF00593,RF00593,RF00593,fallback
RF00594,RF00594,RF00594,fallback
RF00598,RF00598,RF00598,fallback
RF00599,RF00599,RF00599,fallback
RF00600,RF00600,RF00600,fallback
RF00601,RF00601,RF00601,fallback
RF00602,RF00602,RF00602,fallback
RF00603,RF00603,RF00603,fallback
RF00604,RF00604,RF00604,fallback
RF00606,RF00606,RF00606,fallback
RF00607,RF00607,RF00607,fallback
RF00608,RF00608,RF00608,fallback
RF00609,RF00609,RF00609,fallback
RF00610,RF00610,RF00610,fallback
RF00611,RF00611,RF00611,fallback
RF00612,RF00612,RF00612,fallback
RF00613,RF00613,RF00613,fallback
RF00614,RF00614,RF00614,fallback
RF00617,RF00617,RF00617,fallback
RF00618,RF00618,RF00618,fallback
RF00619,RF00619,RF00619,fallback
RF00620,RF00620,RF00620,fallback
RF00621,RF00621,RF00621,fallback
RF00622,RF00622,RF00622,fallback
RF00623,RF00623,RF00623,fallback
RF00624,RF00624,RF00624,fallback
RF00625,RF00625,RF00625,fallback
RF00627,RF00627,RF00627,fallback
RF00628,RF00628,RF00628,fallback
RF00629,RF00629,RF00629,fallback
RF00630,RF00630,RF00630,fallback
RF00634,RF00634,RF00634,fallback
RF00635,RF00635,RF00635,fallback
RF00636,RF00636,RF00636,fallback
RF00637,RF00637,RF00637,fallback
RF00638,RF00638,RF00638,fallback
RF00639,RF00639,RF00639,fallback
RF00641,RF00641,RF00641,fallback
RF00642,RF00642,RF00642,fallback
RF00643,RF00643,RF00643,fallback
RF00644,RF00644,RF00644,fallback
RF00645,RF00645,RF00645,fallback
RF00646,RF00646,RF00646,fallback
RF00647,"Carex littledalei isolate C.B.Clarke chromosome 24, whole genome shotgun sequenc","Carex littledalei isolate C.B.Clarke chromosome 24, whole genome shotgun sequence",header
RF00648,RF00648,RF00648,fallback
RF00649,RF00649,RF00649,fallback
RF00650,RF00650,RF00650,fallback
RF00651,RF00651,RF00651,fallback
RF00652,RF00652,RF00652,fallback
RF00653,RF00653,RF00653,fallback
RF00654,RF00654,RF00654,fallback
RF00655,RF00655,RF00655,fallback
RF00656,RF00656,RF00656,fallback
RF00657,RF00657,RF00657,fallback
RF00658,RF00658,RF00658,fallback
RF00659,RF00659,RF00659,fallback
RF00660,RF00660,RF00660,fallback
RF00661,RF00661,RF00661,fallback
RF00662,RF00662,RF00662,fallback
RF00663,RF00663,RF00663,fallback
RF00664,RF00664,RF00664,fallback
RF00665,RF00665,RF00665,fallback
RF00666,RF00666,RF00666,fallback
RF00667,RF00667,RF00667,fallback
RF00668,RF00668,RF00668,fallback
RF00669,RF00669,RF00669,fallback
RF00670,RF00670,RF00670,fallback
RF00671,RF00671,RF00671,fallback
RF00672,RF00672,RF00672,fallback
RF00673,RF00673,RF00673,fallback
RF00674,RF00674,RF00674,fallback
RF00675,RF00675,RF00675,fallback
RF00677,RF00677,RF00677,fallback
RF00678,RF00678,RF00678,fallback
RF00679,RF00679,RF00679,fallback
RF00680,RF00680,RF00680,fallback
RF00682,RF00682,RF00682,fallback
RF00683,RF00683,RF00683,fallback
RF00684,RF00684,RF00684,fallback
RF00685,RF00685,RF00685,fallback
RF00686,RF00686,RF00686,fallback
RF00688,RF00688,RF00688,fallback
RF00689,RF00689,RF00689,fallback
RF00690,RF00690,RF00690,fallback
RF00691,RF00691,RF00691,fallback
RF00692,RF00692,RF00692,fallback
RF00693,RF00693,RF00693,fallback
RF00694,RF00694,RF00694,fallback
RF00695,RF00695,RF00695,fallback
RF00696,RF00696,RF00696,fallback
RF00697,RF00697,RF00697,fallback
RF00698,RF00698,RF00698,fallback
RF00700,RF00700,RF00700,fallback
RF00701,RF00701,RF00701,fallback
RF00702,RF00702,RF00702,fallback
RF00703,RF00703,RF00703,fallback
RF00704,RF00704,RF00704,fallback
RF00705,RF00705,RF00705,fallback
RF00706,RF00706,RF00706,fallback
RF00708,RF00708,RF00708,fallback
RF00709,RF00709,RF00709,fallback
RF00710,RF00710,RF00710,fallback
RF00711,RF00711,RF00711,fallback
RF00712,RF00712,RF00712,fallback
RF00713,RF00713,RF00713,fallback
RF00714,RF00714,RF00714,fallback
RF00715,RF00715,RF00715,fallback
RF00717,RF00717,RF00717,fallback
RF00719,RF00719,RF00719,fallback
RF00720,RF00720,RF00720,fallback
RF00722,RF00722,RF00722,fallback
RF00723,RF00723,RF00723,fallback
RF00724,RF00724,RF00724,fallback
RF00725,RF00725,RF00725,fallback
RF00726,RF00726,RF00726,fallback
RF00727,RF00727,RF00727,fallback
RF00728,RF00728,RF00728,fallback
RF00729,RF00729,RF00729,fallback
RF00730,RF00730,RF00730,fallback
RF00731,RF00731,RF00731,fallback
RF00732,RF00732,RF00732,fallback
RF00733,RF00733,RF00733,fallback
RF00735,RF00735,RF00735,fallback
RF00736,RF00736,RF00736,fallback
RF00737,RF00737,RF00737,fallback
RF00742,RF00742,RF00742,fallback
RF00745,RF00745,RF00745,fallback
RF00746,RF00746,RF00746,fallback
RF00747,RF00747,RF00747,fallback
RF00749,RF00749,RF00749,fallback
RF00750,RF00750,RF00750,fallback
RF00751,RF00751,RF00751,fallback
RF00752,RF00752,RF00752,fallback
RF00753,RF00753,RF00753,fallback
RF00754,RF00754,RF00754,fallback
RF00756,RF00756,RF00756,fallback
RF00757,RF00757,RF00757,fallback
RF00758,RF00758,RF00758,fallback
RF00760,RF00760,RF00760,fallback
RF00761,RF00761,RF00761,fallback
RF00762,RF00762,RF00762,fallback
RF00763,RF00763,RF00763,fallback
RF00764,RF00764,RF00764,fallback
RF00766,RF00766,RF00766,fallback
RF00767,RF00767,RF00767,fallback
RF00772,RF00772,RF00772,fallback
RF00777,RF00777,RF00777,fallback
RF00778,RF00778,RF00778,fallback
RF00779,RF00779,RF00779,fallback
RF00782,RF00782,RF00782,fallback
RF00783,RF00783,RF00783,fallback
RF00784,RF00784,RF00784,fallback
RF00792,RF00792,RF00792,fallback
RF00793,RF00793,RF00793,fallback
RF00803,RF00803,RF00803,fallback
RF00806,RF00806,RF00806,fallback
RF00813,RF00813,RF00813,fallback
RF00822,RF00822,RF00822,fallback
RF00825,RF00825,RF00825,fallback
RF00829,RF00829,RF00829,fallback
RF00832,RF00832,RF00832,fallback
RF00838,RF00838,RF00838,fallback
RF00839,RF00839,RF00839,fallback
RF00840,RF00840,RF00840,fallback
RF00842,RF00842,RF00842,fallback
RF00844,RF00844,RF00844,fallback
RF00858,RF00858,RF00858,fallback
RF00865,RF00865,RF00865,fallback
RF00878,RF00878,RF00878,fallback
RF00885,RF00885,RF00885,fallback
RF00886,RF00886,RF00886,fallback
RF00887,RF00887,RF00887,fallback
RF00892,RF00892,RF00892,fallback
RF00893,Arabidopsis thaliana chromosome 5,Arabidopsis thaliana chromosome 5,header
RF00906,RF00906,RF00906,fallback
RF00912,RF00912,RF00912,fallback
RF00921,RF00921,RF00921,fallback
RF00927,RF00927,RF00927,fallback
RF00928,RF00928,RF00928,fallback
RF00929,RF00929,RF00929,fallback
RF00933,RF00933,RF00933,fallback
RF00937,RF00937,RF00937,fallback
RF00939,RF00939,RF00939,fallback
RF00946,RF00946,RF00946,fallback
RF00947,RF00947,RF00947,fallback
RF00948,RF00948,RF00948,fallback
RF00950,RF00950,RF00950,fallback
RF00951,RF00951,RF00951,fallback
RF00952,RF00952,RF00952,fallback
RF00957,RF00957,RF00957,fallback
RF00966,RF00966,RF00966,fallback
RF00975,"Vitis vinifera, whole genome shotgun sequence of line PN40024, unoriented chromo","Vitis vinifera, whole genome shotgun sequence of line PN40024, unoriented chromosome 4, chr4",header
RF00989,RF00989,RF00989,fallback
RF00991,RF00991,RF00991,fallback
RF00996,RF00996,RF00996,fallback
RF01005,"Populus trichocarpa isolate Nisqually-1 chromosome 4, whole genome shotgun seque","Populus trichocarpa isolate Nisqually-1 chromosome 4, whole genome shotgun sequence",header
RF01010,RF01010,RF01010,fallback
RF01014,RF01014,RF01014,fallback
RF01026,RF01026,RF01026,fallback
RF01044,RF01044,RF01044,fallback
RF01045,RF01045,RF01045,fallback
RF01051,RF01051,RF01051,fallback
RF01052,RF01052,RF01052,fallback
RF01054,RF01054,RF01054,fallback
RF01055,RF01055,RF01055,fallback
RF01057,RF01057,RF01057,fallback
RF01061,RF01061,RF01061,fallback
RF01065,RF01065,RF01065,fallback
RF01066,RF01066,RF01066,fallback
RF01067,RF01067,RF01067,fallback
RF01068,RF01068,RF01068,fallback
RF01069,RF01069,RF01069,fallback
RF01070,RF01070,RF01070,fallback
RF01073,RF01073,RF01073,fallback
RF01093,RF01093,RF01093,fallback
RF01097,"Piliocolobus tephrosceles isolate RC106 chromosome 7, whole genome shotgun seque","Piliocolobus tephrosceles isolate RC106 chromosome 7, whole genome shotgun sequence",header
RF01116,RF01116,RF01116,fallback
RF01133,RF01133,RF01133,fallback
RF01151,RF01151,RF01151,fallback
RF01155,RF01155,RF01155,fallback
RF01156,RF01156,RF01156,fallback
RF01159,RF01159,RF01159,fallback
RF01161,RF01161,RF01161,fallback
RF01163,Arabidopsis thaliana chromosome 3,Arabidopsis thaliana chromosome 3,header
RF01164,RF01164,RF01164,fallback
RF01168,RF01168,RF01168,fallback
RF01169,RF01169,RF01169,fallback
RF01170,RF01170,RF01170,fallback
RF01173,RF01173,RF01173,fallback
RF01174,RF01174,RF01174,fallback
RF01177,RF01177,RF01177,fallback
RF01178,RF01178,RF01178,fallback
RF01179,RF01179,RF01179,fallback
RF01181,RF01181,RF01181,fallback
RF01182,RF01182,RF01182,fallback
RF01183,RF01183,RF01183,fallback
RF01184,RF01184,RF01184,fallback
RF01185,RF01185,RF01185,fallback
RF01186,RF01186,RF01186,fallback
RF01188,RF01188,RF01188,fallback
RF01191,RF01191,RF01191,fallback
RF01192,RF01192,RF01192,fallback
RF01193,RF01193,RF01193,fallback
RF01197,"TPA_inf: Saccharomyces cerevisiae S288C chromosome VII, complete sequence","TPA_inf: Saccharomyces cerevisiae S288C chromosome VII, complete sequence",header
RF01198,RF01198,RF01198,fallback
RF01200,RF01200,RF01200,fallback
RF01201,RF01201,RF01201,fallback
RF01203,RF01203,RF01203,fallback
RF01206,RF01206,RF01206,fallback
RF01207,RF01207,RF01207,fallback
RF01208,RF01208,RF01208,fallback
RF01209,RF01209,RF01209,fallback
RF01210,RF01210,RF01210,fallback
RF01211,RF01211,RF01211,fallback
RF01212,"Caenorhabditis briggsae complete genome, chrV, whole genome shotgun sequence","Caenorhabditis briggsae complete genome, chrV, whole genome shotgun sequence",header
RF01213,RF01213,RF01213,fallback
RF01214,RF01214,RF01214,fallback
RF01215,RF01215,RF01215,fallback
RF01218,RF01218,RF01218,fallback
RF01219,RF01219,RF01219,fallback
RF01220,RF01220,RF01220,fallback
